location_address1,location_address2,location_city,location_convocationLabel,location_fullAddress,location_giveBlood,location_givePlasma,location_givePlatelet,location_groupCode,location_id,location_latitude,location_longitude,location_name,location_phone,location_postCode,location_regionCode,location_regionName,location_samplingLocationCode,location_horaires,location_infos,location_metro,location_bus,location_tram,location_parking,location_debutInfos,location_finInfos,collection_date,collection_groupCode,collection_id,collection_isPublic,collection_isPublishable,collection_lpCode,collection_morningEndTime,collection_morningStartTime,collection_afternoonEndTime,collection_afternoonStartTime,collection_regionCode,collection_nature
,3 AVENUE DE LIEGE,94160 SAINT MANDE,CENTRE CULTUREL,3 AVENUE DE LIEGE 94160 SAINT MANDE,True,False,False,I02123,5017791,48.84327697753906,2.4194533824920654,CENTRE CULTUREL,,,019,EFS Ile de France,2053,,,,,,,,,2023-05-25,I02123,803028,True,,2053,,,19:00:00,14:00:00,019,
SALLE DES PAS PERDUS,PLACE SALVADOR ALLENDE,93170 BAGNOLET,MAIRIE,SALLE DES PAS PERDUS PLACE SALVADOR ALLENDE 93170 BAGNOLET,True,False,False,I01567,5019599,48.86873245239258,2.4169251918792725,MAIRIE,,,019,EFS Ile de France,1528,,,,,,,,,2023-05-17,I01567,808362,True,,1528,,,19:30:00,14:30:00,019,
,36 RUE FRATACCI,92170 VANVES,LA PALESTRE,36 RUE FRATACCI 92170 VANVES,True,False,False,I03510,5034761,48.82083511352539,2.289015293121338,LA PALESTRE (sem),,,019,EFS Ile de France,5,,,,,,,,,2023-07-07,I03510,799853,True,,5,,,19:00:00,14:00:00,019,
,36 RUE FRATACCI,92170 VANVES,LA PALESTRE,36 RUE FRATACCI 92170 VANVES,True,False,False,I03510,5034761,48.82083511352539,2.289015293121338,LA PALESTRE (sem),,,019,EFS Ile de France,5,,,,,,,,,2023-08-04,I03510,799854,True,,5,,,19:00:00,14:00:00,019,
SALLE DE SPORT - 5ème étage,73 AVENUE DE PARIS ,94160 SAINT MANDE,IGN - METEO FRANCE ,SALLE DE SPORT - 5ème étage 73 AVENUE DE PARIS  94160 SAINT MANDE,True,False,False,I02060,5037916,48.84558868408203,2.425199508666992,SALLE DE SPORT,,,019,EFS Ile de France,3,,,,,,,,,2023-06-13,I02060,881742,True,,3,,,17:00:00,12:00:00,019,
PARIS16-LE PAVILLON de L'EAU,77 av de VERSAILLES,75016 PARIS,,PARIS16-LE PAVILLON de L'EAU 77 av de VERSAILLES 75016 PARIS,True,False,False,I07846,5042012,48.846282958984375,2.273329019546509,PARIS16-LE PAVILLON de L'EAU,,,019,EFS Ile de France,1,,,,,,,,,2023-05-13,I07846,878436,True,,1,14:00:00,09:00:00,,,019,
,48 RUE DE STALINGRAD,93310 LE PRE SAINT GERVAIS,GYMNASE NODIER,48 RUE DE STALINGRAD 93310 LE PRE SAINT GERVAIS,True,False,False,I09944,5036923,48.888179779052734,2.4015350341796875,GYMNASE NODIER,,,019,EFS Ile de France,1,,,,,,,,,2023-06-13,I09944,810027,True,,1,19:00:00,14:00:00,,,019,
,73 RUE DE PARIS,94220 CHARENTON LE PONT,ESPACE TOFFOLI,73 RUE DE PARIS 94220 CHARENTON LE PONT,True,False,False,I02129,5008987,48.82078170776367,2.4143435955047607,ESPACE TOFFOLI,,,019,EFS Ile de France,2059,,,,,,,,,2023-07-19,I02129,803064,True,,2059,,,19:30:00,15:00:00,019,
SALLE DES MARIAGES,96 RUE DE PARIS,93260 LES LILAS,MAIRIE,SALLE DES MARIAGES 96 RUE DE PARIS 93260 LES LILAS,True,False,False,I01571,5018530,48.87934875488281,2.4158005714416504,MAIRIE SALLE DES MARIAGES,,,019,EFS Ile de France,1532,,,,,,,,,2023-05-16,I01571,809461,True,,1532,,,19:00:00,14:00:00,019,
SALLE DES MARIAGES,96 RUE DE PARIS,93260 LES LILAS,MAIRIE,SALLE DES MARIAGES 96 RUE DE PARIS 93260 LES LILAS,True,False,False,I01571,5018530,48.87934875488281,2.4158005714416504,MAIRIE SALLE DES MARIAGES,,,019,EFS Ile de France,1532,,,,,,,,,2023-07-23,I01571,809463,True,,1532,14:00:00,09:00:00,,,019,
